title,year,director,runtime
Forrest Gump,1994,Robert Zemeckis,142
Interstellar,2014,Christopher Nolan,169
Project Hail Mary,2026,Phil Lord,156
How to Lose a Guy in 10 Days,2003,Donald Petrie,110
Zootopia,2016,Rich Moore,108
10 Things I Hate About You,1999,Gil Junger,97
